 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  2746  2746     0   0.000E+00   0.000E+00   7.703E-02   1.137E+00
  2746  2846     0   1.660E-01   1.845E-01   7.703E-02   1.137E+00
  2746  2747     0   7.556E-01   8.102E-01   7.703E-02   1.137E+00
  2846  2746     0   5.057E-01   5.611E-01   7.703E-02   9.262E-01
  2846  2846     0   0.000E+00   0.000E+00   7.703E-02   9.262E-01
  2846  2747     0   3.818E-01   4.295E-01   7.703E-02   9.262E-01
  2747  2746     0   7.900E-01   8.466E-01   7.703E-02   1.035E+00
  2747  2846     0   1.310E-01   1.476E-01   7.703E-02   1.035E+00
  2747  2747     0   0.000E+00   0.000E+00   7.703E-02   1.035E+00
   681   681     1   0.000E+00   0.000E+00   1.094E-02   1.909E-01
   681   713     1   3.063E-02   1.174E-01   1.094E-02   1.909E-01
   681   678     1   4.117E-01   8.293E-01   1.094E-02   1.909E-01
   713   681     1   1.205E-02   4.621E-02   1.094E-02   1.913E-01
   713   713     1   0.000E+00   0.000E+00   1.094E-02   1.913E-01
   713   678     1   4.771E-01   9.125E-01   1.094E-02   1.913E-01
   678   681     1   1.255E-01   2.522E-01   1.094E-02   1.798E-01
   678   713     1   3.698E-01   7.055E-01   1.094E-02   1.798E-01
   678   678     1   0.000E+00   0.000E+00   1.094E-02   1.798E-01
  3944  3944     2   0.000E+00   0.000E+00   3.918E-01   5.293E+00
  3944  2849     2   5.525E-01   5.632E-01   3.918E-01   5.293E+00
  3944  2850     2   4.259E-01   4.352E-01   3.918E-01   5.293E+00
  2849  3944     2   1.683E-01   1.716E-01   3.918E-01   5.118E+00
  2849  2849     2   0.000E+00   0.000E+00   3.918E-01   5.118E+00
  2849  2850     2   8.170E-01   8.273E-01   3.918E-01   5.118E+00
  2850  3944     2   1.350E-01   1.380E-01   3.918E-01   5.442E+00
  2850  2849     2   8.501E-01   8.609E-01   3.918E-01   5.442E+00
  2850  2850     2   0.000E+00   0.000E+00   3.918E-01   5.442E+00
  3886  3886     3   0.000E+00   0.000E+00   1.909E-03   5.248E-02
  3886   891     3   4.815E-02   2.858E-01   1.909E-03   5.248E-02
  3886  3325     3   1.040E-01   6.058E-01   1.909E-03   5.248E-02
   891  3886     3   1.389E-01   8.239E-01   1.909E-03   5.207E-02
   891   891     3   0.000E+00   0.000E+00   1.909E-03   5.207E-02
   891  3325     3   2.862E-03   4.465E-02   1.909E-03   5.207E-02
  3325  3886     3   1.484E-01   8.642E-01   1.909E-03   5.215E-02
  3325   891     3   1.415E-03   2.211E-02   1.909E-03   5.215E-02
  3325  3325     3   0.000E+00   0.000E+00   1.909E-03   5.215E-02
  3032  3032     4   0.000E+00   0.000E+00   1.884E-03   5.153E-02
  3032  1133     4   9.537E-02   5.168E-01   1.884E-03   5.153E-02
  3032   428     4   7.018E-02   3.822E-01   1.884E-03   5.153E-02
  1133  3032     4   1.616E-01   8.736E-01   1.884E-03   5.057E-02
  1133  1133     4   0.000E+00   0.000E+00   1.884E-03   5.057E-02
  1133   428     4   1.014E-03   1.728E-02   1.884E-03   5.057E-02
   428  3032     4   1.587E-01   8.620E-01   1.884E-03   5.049E-02
   428  1133     4   1.353E-03   2.304E-02   1.884E-03   5.049E-02
   428   428     4   0.000E+00   0.000E+00   1.884E-03   5.049E-02
  3945  3945     5   0.000E+00   0.000E+00   1.025E+00   1.125E+01
  3945  3838     5   7.323E-01   7.510E-01   1.025E+00   1.125E+01
